User Input,Chatbot Response
Hello,Hello! How are you feeling today? Please rate your mood.
I’d say a 7,"Great, you're feeling pretty good! How about your stress?"
I’d rate it 6,It sounds like you’re managing some stress. How’s your sleep?
It’s around 8,That’s good to hear! Do you feel you have enough social support?
Maybe 6,It’s good to have some support around you. How about anxiety?
I’d say a 5,It seems like you're managing some anxiety. How active have you been physically?
I’ve been active for about 3 hours,That’s awesome! Would you like advice on managing stress?
"Yes, maybe some tips for relaxation","Here are some tips: deep breathing, light activity, etc."
"No, thank you. That’s helpful.","You’re welcome! Take care and remember, I’m here anytime."
How can I improve my sleep quality?,"Try establishing a consistent bedtime, avoiding screens, and relaxing before sleep."
I’m feeling really anxious lately.,I’m sorry you’re feeling that way. Would you like some breathing exercises to help calm down?
What are some ways to reduce stress?,"You can try mindfulness exercises, physical activity, and maintaining a balanced schedule."
I’ve been feeling really down.,It’s important to acknowledge those feelings. Would you like to talk more about it?
How do I manage my anxiety in social situations?,"Focus on your breathing, stay in the moment, and remember that it’s okay to take a break."
I’ve been having trouble concentrating.,That can be a sign of stress or exhaustion. Would you like some tips to improve focus?
Can you help me track my mental health?,"Absolutely! I can help you track your mood, stress, anxiety, and more. Let’s start!"
What are the signs of depression?,"Some common signs include persistent sadness, loss of interest in activities, and changes in sleep or appetite."
I don’t have much energy lately.,Feeling low on energy can be linked to stress or other mental health concerns. Would you like advice?
I’m feeling overwhelmed.,"Take it one step at a time. Break tasks into smaller, manageable steps and remember to take breaks."
Can physical activity improve mood?How do I overcome fear of public speaking?,"Yes, physical activity releases endorphins, which can boost mood and reduce stress. Try to stay active!Practice in smaller groups, visualize success, and focus on your breathing."
I feel exhausted all the time.,"Fatigue can be due to stress, poor sleep, or health issues. Have you seen a doctor?"
What are the symptoms of anxiety?,"Common symptoms include restlessness, rapid heartbeat, and difficulty concentrating."
How can I improve my focus while studying?,Create a distraction-free environment and use study techniques like Pomodoro.
I feel stuck in life.,It’s okay to feel this way. Reflect on your goals and consider small steps forward.
